username,region,age,gender,haircolor,complexion,undertone,eyecolor,rating,review_time,quality_rating,value_rating,title,content,recieved_sample_points,puchase_again,recommend
JazzymineCA,California,18 to 24,Female,Darkest Brown,Medium,Warm Undertone,Dark Brown,5 out of 5 stars.,a year ago  ,5,5,Best lippy so far!,I got this as part of Influenster to sample and review and let me tell you I will definitely be buying more colors! The applicator is amazing and just what someone with shakey hands like me needs to get the perfect application without needing to wipe away corners the whole time! I was kinda iffy at first because it has a very watery feeling to it but once it dries up it’s amazing and looks so good and doesn’t cry out your lips to look like cracked disasters I love it!,Yes,Yes,Yes
Tiffffff,Madera California,17 or under,Female,Dark Brown,Light,Warm Undertone,Blue,5 out of 5 stars.,a year ago  ,5,5,Sooo amazing,I got this for free and influence box to test over a month ago it is an amazing product I really like the formula it does not dry my lips the only thing is it does hard to take off with make remover but overall it’s great and not patchy,Yes,Yes,Yes
LivByLeah,"Atlanta, GA",35 to 44,Female,Medium Blonde,Fair,Neutral Undertone,Blue,5 out of 5 stars.,a year ago  ,5,5,Lush and long lasting,"I have been a lip liner and lipstick wearer for years instead of lip gloss. I decided to change things up a bit in recent months and tried the new rouge signature in three colors...I love the nude and rose color (don’t know their official names) because they look so good on me. I like the red also but it’s a tiny too pink red for me. Of course, I’m not used to wearing red so it was a bit of a shock. All three, though, went on smooth, dried quickly and lasted through eating and drinking. I highly recommend.",Yes,Yes,Yes
callmeSallyG,"Swansea, IL",25 to 34,Female,Medium Brown,Medium,Warm Undertone,Hazel,5 out of 5 stars.,a year ago  ,5,5,I now wear lip color on the regular!,"I was a bit hesitant to try these lippies as I like to wear reds, but not all the time. I’m also one who usually ends up with dried lips after wearing any color other than a chapstick. I was BEYOND relieved and excited however when these lasted all day, didn’t dry out my lips AND had several shades that I can wear anytime and with any outfit! Thank you Influenster and L’Oreal for choosing me to test and review these amazing products! #gotitfree #RougeSignature",Yes,Yes,Yes
Ariy,Atlanta,25 to 34,Female,Black,Deep,Warm Undertone,Dark Brown,3 out of 5 stars.,a year ago  ,5,5,,"I received ""I am Worth It"" ,""I rule"" and ""I create"" complimentary to review for Influenster. As a person with deep skin tone person I rule and I create didn't work for me. I felt like they washed out my lips. I am Worth it was my favorite. It's a bright red and the lip color is comfortable. I don't feel like my lips get dried out, but I also don't feel like it's a special lip color. I would recommend if you need something easy and affordable.",No,No,Yes
Niaa,,25 to 34,Female,Darkest Brown,Medium,Neutral Undertone,Dark Brown,4 out of 5 stars.,a year ago  ,5,5,Not What I Expected,"After glancing at the package I assumed this was matte lipstick that dries, it is not. I personally don't use lip stains, which is what this reminds me of, but I still fell in love with the product. The colors are very vibrant and perfect for a day at work or a night on the town. There is transfer, but after a few coats the color stays on the lips like a lip stain would and reapplication is a breeze. It is comfy and lightweight on the lips, definitely more so than the lipstick i'm used to wearing. To me it's like a hybrid of cream lipstick, gloss, and lip stain. I think anybody can find something to love about it. I received this product complimentary from influenster for reviewing purposes.",Yes,No,No
kkelly333,"Los Angeles, CA",25 to 34,Female,Light Brown,Fair,Warm Undertone,Light Brown,5 out of 5 stars.,a year ago  ,5,5,Great Product!!,"This is a great color!! It is so pigmented, and it lasts for a while without coming off. I would highly recommend. I received this product complimentary for review purposes.",Yes,Yes,Yes
Sana1726,Ca,25 to 34,Female,Medium Brown,Medium,Neutral Undertone,Dark Brown,5 out of 5 stars.,a year ago  ,5,5,AmaZing,I received this product from Influenster and I’m so amazed by how beautiful this color is and how it lasts.,Yes,Yes,Yes
TyUchiha,"Baltimore, MD",25 to 34,Female,Dark Brown,Deep,Cool Undertone,Dark Brown,3 out of 5 stars.,a year ago  ,5,5,Nice Formula....,"I received this product complimentary for testing and although I’m not in love with it I would definitely recommend it. The colors weren’t bad they just weren’t for me and my skin tone. The formula is great though. It dries pretty quick and it feels amazing on my lips, not overly dry.",Yes,No,Yes
Vonnaaaa,"Seneca, SC",,Female,Copper,Medium,Neutral Undertone,Green,5 out of 5 stars.,a year ago  ,5,5,Love it,"These new liquid lipsticks have beautiful color payoff and are lightweight. I found them pretty easy to apply. Would definitely recommend to a friend.
These new liquid lipsticks have beautiful color payoff, but are super lightweight. I found them pretty easy to apply,",Yes,Yes,Yes
Shimmer23,New Jersey,18 to 24,,Light Brown,Light,Cool Undertone,Green,5 out of 5 stars.,a year ago  ,5,5,Great Product!,This lip product went on very smooth and didn’t feel drying at all. It was lightweight and not heavy or clumpy. It lasted most of the day I would recommend to a friend. I received this free for testing purposes.,Yes,Yes,Yes
Bh0099791,North Carolina,25 to 34,,Medium Brown,Light,Warm Undertone,Blue,3 out of 5 stars.,a year ago  ,5,5,Love the colors,"I was very excited to get this product to try for free in a voxbox! I love the colors, they look great! My only issue is the staying power. The color came off easily and I had to reapply often.",Yes,Yes,
Jassy Piceno,Los Ángeles,25 to 34,,Dark Brown,Medium,Neutral Undertone,Light Brown,4 out of 5 stars.,a year ago  ,5,5,,I received complimentary from Influenster and I have to say I loved the formula. It’s non sticky and pigmented.,No,Yes,Yes
Elii,"Oxnard,CA",18 to 24,,Black,,Neutral Undertone,Dark Brown,4 out of 5 stars.,a year ago  ,5,5,Super comfortable!,"I received this item for testing purposes and I love it. It’s like your lips but better! It’s matte but it doesn’t feel dry. My problem with many lipsticks that are matte is that they feel super dry and these don’t, they’re so good!",Yes,Yes,Yes
Trixxie,Henderson,35 to 44,,Black,Deep,Warm Undertone,Dark Brown,4 out of 5 stars.,a year ago  ,5,5,Comfortable on Lips,"I love the names of all 3 products that we received (I Rule, I am Worth It, I Create), but went with I Create. I thought it would be apt for me as I'm pregnant and creating a little human. I like the applicator as it made application really easy. This lip ink is highly pigmented and I didn't need many coats to get a good matte color. It feels really comfortable on my lips, however once I removed it my lips did feel a bit dry. I unfortunately can't test out the longevity of this product right now since I'm not using anything on my lips for a long time frame as I can't handle the taste of anything on my lips. I'm always eating or drinking and lip products all taste strange to me. #rougesignature
I received this lip ink complimentary from @influenster for my honest opinion. I received this product complimentary for review purposes.",Yes,Yes,Yes
Cat8211,New york,35 to 44,,Medium Blonde,Fair,Cool Undertone,Blue,4 out of 5 stars.,a year ago  ,5,5,Matte without dryness,"This goes on smoothly with a creamy texture. It dries to a matte finish but there's a bit of working time before it sets. The end result is matte without being overly dry. Pigment is good and the color glides on smoothly.
I received this product complimentary for testing.",Yes,Yes,Yes
Mlbrown,Kansas,25 to 34,,Dark Brown,Light,Warm Undertone,Blue,4 out of 5 stars.,a year ago  ,5,5,Very comfortable,I received this product for free for testing purposes and I’m so glad I did. These liquid lipsticks are wonderful! They have a very lightweight liquid formula that dries down to a very comfortable thin matte lipstick. This is very long lasting and leaves a stain once the top layer has worn off.,Yes,Yes,Yes
Letitia Laura,Texas,35 to 44,,Darkest Brown,Medium,Neutral Undertone,Dark Brown,5 out of 5 stars.,a year ago  ,5,5,Simply Amazing!,I love how comfortable these are and the pay off is great! So easy to apply and I love the pointy applicator. Definitely a must have!,Yes,Yes,Yes
Khoma12,"Pittsburgh, PA",18 to 24,,Auburn,Fair,Cool Undertone,Dark Brown,4 out of 5 stars.,a year ago  ,5,5,Great colors!,I received a free sample of L'Oreal's Rouge Signature Liquid Lipsticks in a voxbox from Influenster and I absolutely love the colors! They go on smoothly and are highly pigmented without feeling like it's too thick. My only small complaint is that it comes off pretty easily when drinking/eating but it is easy to reapply.,Yes,Yes,Yes
Yeeeee,"Roseburg, OR",18 to 24,,Light Blonde,Fair,Neutral Undertone,Blue,5 out of 5 stars.,a year ago  ,5,5,So good,I got these sent to me by influencer in a voxbox. My overall review on this is that is is a really good matte lip. Most ddry out your lips and become crusty and mattes that don't dry out your lips usually come off very easily but this one does not.,Yes,Yes,Yes
La Chaparra,Illinois,18 to 24,,Medium Brown,Medium,Warm Undertone,Dark Brown,5 out of 5 stars.,a year ago  ,5,5,Amazing product,I used the products and I loved them. They are not sticky they are silky smooth. Best lippies that I've used in a while.,Yes,Yes,Yes
MParks,"Greenville, SC",25 to 34,,Medium Brown,Light,Neutral Undertone,Hazel,5 out of 5 stars.,a year ago  ,5,5,Awesome!,I seriously love this stuff! It is easy to apply. Feels great - like there’s nothing there. It is very long lasting. I have 3 colors and I cannot wait to continue buying the Paris Rouge Lasting Matte Liquid Lipstick. BUY IT! Just trust me. I received this product complimentary for testing but will definitely purchase once I run out.,Yes,Yes,Yes
hiltk,,25 to 34,,Light Blonde,Light,Neutral Undertone,,3 out of 5 stars.,a year ago  ,5,5,It's ok,The colors are pretty and muted and they apply easily but they don't last long. I don't hate them but they aren't something I would run out and buy.,Yes,No,No
Melbows,South Carolina,35 to 44,,Dark Brown,Light,Warm Undertone,Blue,4 out of 5 stars.,a year ago  ,5,5,Nice product,"I received 2 shades complementary from an influenster voxbox. I’m not usually one to wear any lip color because of the textures. But this is great. If I wear anything, this will be my go to choice from now on!",Yes,Yes,Yes
Marlablogger,Miami Florida,25 to 34,,Bleach Blonde,Fair,Neutral Undertone,Light Brown,5 out of 5 stars.,a year ago  ,5,5,Best colors!,I love the colors and feel of this lippies! My favorite color which I use on an everyday basis is 414 I rule I get so many compliments on it!,Yes,Yes,Yes
thecurlymom,"Oklahoma City, OK",18 to 24,,Medium Brown,Medium,Neutral Undertone,Light Brown,5 out of 5 stars.,a year ago  ,5,5,Best liquid lipstick on the market!,"I received three shades complimentary for testing and I am absolutely in love with them! Although I’m not a huge makeup junkie (my daily routine only including mascara), I do love to throw on a simple matter lipstick from time to time. Once I started trying out these lipsticks I’ve been wearing them most of the week! The colors are simple but can be put on in layers in order to make them pop more. The applicator brush shape is perfect and make it easy to trace the outside of my lips without having to do to much edge touch up. The lipstick has a nice smell, is lightweight, goes on smooth instead of sticky and doesn’t dry my lips out. For the price I feel like this product is totally worth every penny! I also haven’t noticed much bleeding once the lipstick dries. I would recommend this product to any and everyone! I used to occasionally wear ColourPop’s liquid lipsticks but they were always too sticky, heavy and dried my lips out horribly. I will not be buying another brand of lipstick. The names of the shades are another bonus that I am absolutely in love with as they are positive and empowering!",Yes,Yes,Yes
TaraP,,35 to 44,,Medium Brown,Light,Warm Undertone,Hazel,5 out of 5 stars.,a year ago  ,5,5,Silky goodness!!,"I received 3 different colors complimentary! Each lipstick is a silky smooth goodness going on but drys to a lightweight, matte color that looks like your own lips! I love the applicator! It makes applying so much easier and applies just enough but you can apply multiple coats for more vibrant lips. Most lipsticks leave a sticky feel, this dries completely and feels like you’re wearing nothing!! Definitely something I will be purchasing other colors of!!",Yes,Yes,Yes
Lnutter1,Morgantown wv,25 to 34,,Dark Brown,Medium,Warm Undertone,Dark Brown,4 out of 5 stars.,a year ago  ,5,5,Non drying,Get matte lip pie without over drying lightweight and tons of pigment,Yes,Yes,Yes
yyesdnil,"Denver, CO",25 to 34,,Dark Blonde,Light,Neutral Undertone,Blue,5 out of 5 stars.,a year ago  ,5,5,Where has this been?,"I am IN LOVE. This stuff is amazing. So light weight and like a tint, but it’s SO smooth and hydrating. The consistency made me feel like it was going to dry down and be uncomfortable, but it’s completely opposite. the color doesn’t last ALL day, but as it fades, I can just throw a little bit of chapstick on and they’re good to go again.",Yes,Yes,Yes
Mrs Bouch,,25 to 34,,Light Brown,Fair,Warm Undertone,Hazel,4 out of 5 stars.,a year ago  ,5,5,Easy application and removal,"I was sent three of these liquid matte lipsticks for testing purposes from Influenster. I liked the easy application with the triangle tip, but did feel the liquid pooled more heavily on the tip. The application was very easy, but would have been even better with better distribution across the whole applicator. The colors lasted, but were also easy to remove, huge bonus for lipstick! I felt comfortable enough with these colors, and their removal to even let my 5-year-old daughter wear some for fancy play time at home. Win/win!",Yes,No,Yes
kenz1234,"Ocean City, MD",18 to 24,,Light Blonde,Fair,Warm Undertone,Blue,3 out of 5 stars.,a year ago  ,5,5,Ehh,I love liquidstick but these were off for me. I loved the colors of the two nudes but I didn’t like that I had to do multiple layers to see the end result. The red wasn’t good for me because it stained my lips bright red that lasted two days. I had the pleasure of receiving these completentary to try out these products.,Yes,No,No
Dakota414,Michigan,18 to 24,,Medium Brown,Fair,Neutral Undertone,Hazel,5 out of 5 stars.,a year ago  ,5,5,Beautiful Colors! Soft and Smooth!,"I received 3 different shades complimentary for testing purposes. I have about 100 other lipsticks and these have stayed on my makeup vanity front and center since receiving them. They have no smell, they are so soft and smooth on your lips, not drying at all! Which is amazing for a long lasting matte lipstick. The Appicator wand itself is also amazing, very precise application! Highly recommend these for your makeup collection!!",Yes,Yes,Yes
Amysmua,South Dakota,18 to 24,,Medium Blonde,Fair,Warm Undertone,Green,4 out of 5 stars.,a year ago  ,5,5,Feels good,"I received three shades in my Influenster voxbox complimentary in exchange for this review. The colors are very pigmented and not streaky, they smell good and they feel almost whipped in texture. Very nice on the lips",Yes,Yes,Yes
Momlife101,"Chesterfield, SC",25 to 34,,Light Brown,Light,Neutral Undertone,Green,4 out of 5 stars.,a year ago  ,5,5,Bold colors,I received it complimentary from Influenster for testing purposes. I really loved the bold colors. It did make my lips dry out a little bit and it came off pretty easy but still a great product,Yes,Yes,Yes
Rida M,"Houston, TX",25 to 34,,Medium Brown,Fair,Neutral Undertone,Dark Brown,4 out of 5 stars.,a year ago  ,5,5,Lovely product,"I have three shades from this range and I gotta say they’re pretty good. I’ve drifted away from using liquid lipstick cause they’re dry and can look quite unattractive sometimes but this formula is non-drying (non-sticky either), has a decent wear time and the colors are pretty pigmented.
*i received these lip products complimentary for reviewing purposes*",Yes,Yes,Yes
10Shann0n,"North Hills,CA",25 to 34,,Medium Brown,Light,Neutral Undertone,Dark Brown,5 out of 5 stars.,a year ago  ,5,5,Love it,I got this from influenster for testing purposes. I love the variety of colors and how long it stays on my lips. No need to keep reapplying.,Yes,Yes,Yes
kalipo,"Nibley, UT",25 to 34,,Medium Brown,Light,Neutral Undertone,Hazel,5 out of 5 stars.,a year ago  ,5,5,Pretty colors!,This lipstick feels so good and is long lasting! I even wore it to the gym and it was still on when I got home. I’ll definitely be using it for my daughters dance recitals as well! She needs long lasting wear that doesn’t smear. It doesn’t have a sticky or dry feel and is the perfect matte. I received this lipstick complimentary for reviewing purposes.,Yes,Yes,Yes
Krysta19,"Westminster, SC",18 to 24,,Burgundy,Fair,Neutral Undertone,Hazel,4 out of 5 stars.,a year ago  ,5,5,Love this product!,"I wear matte lipstick for almost every occasion. I love the look, but hate how heavy the product feels on my lips. The formula in this product is amazing and has blown me away! Not only have they thinned out the lipstick, but they’ve managed to make the pigment just as bright as their competitors. I would highly recommend this to anyone looking for a bold look but hates the thick feeling of traditional matte lipstick. Less is definitely more with this product!",Yes,Yes,Yes
KateNY,"New York, NY",25 to 34,,,Light,Neutral Undertone,Blue,3 out of 5 stars.,a year ago  ,5,5,"Great color, need to reapply","This line of lipsticks has great colors, beautiful options for both winter and summer. The product itself is a bit drying on the lips and doesn’t stay super well compared to other lip stains I’ve tried. It also left a residue hue on my lips after I washed it off. Will use again along with a lip balm or gloss that adds more hydration.",Yes,No,No
SouthernChic,"Houston, TX",25 to 34,,Light Blonde,Light,Warm Undertone,Blue,5 out of 5 stars.,a year ago  ,5,5,Stays put & feels great!,"Pretty sure I wouldn’t have tried Rouge Signature liquid lipstick if I hadn’t received it complimentary for testing purposes. But, I’m soooo glad I did & tried it! The color stays put for hours and the applicator shape makes it super easy to apply. Plus, it feels great on my lips. Not drying like some long wear lipsticks can be. I’m picky with the long wear lip options out there, but this one surprised the heck out of me! All three colors I’ve tried have been great and I can’t stop wearing them on the daily. For that price point, it’s totally worth a try.",Yes,Yes,Yes
mel3573,"Salt Lake City, Utah",25 to 34,,Light Blonde,Light,Neutral Undertone,Green,3 out of 5 stars.,a year ago  ,5,5,Not overly impressed,"I received 3 free color samples from Influenster in exchange for my honest review. I wasn’t overly impressed. The applicator was a strange shape, which made it awkward to apply to the top lip, and I felt it made my lips dry. In addition, it has no longevity of wear and barely lasts an hour even without eating or drinking. I wouldn’t purchase myself.",Yes,No,No
Lysstafoya5,,18 to 24,,Medium Brown,Light,Neutral Undertone,Light Brown,5 out of 5 stars.,a year ago  ,5,5,,I had received this product from a VoxBox by Influenster. I absolutely love the colors and i recommend trying them out,No,Yes,Yes
Jasminsosweet,Baltimore Maryland,25 to 34,,Soft Black,Medium,Neutral Undertone,Dark Brown,4 out of 5 stars.,a year ago  ,5,5,Love the packaging!,"This is a very comftable formula!!!! I love that it's lightweight and almost feels as nothing is on the lips. The packaging is sleek & so sophisticated looking in my opinion. I bet you can find a color(s) that you love. It has a light whip texture that feels amazing. The scent is the only thing that I'm not a fan of , but Overall they are Good. I was sent the loreal Rogue signature matte lipsticks for reviewing purposes from influenster!!!",Yes,Yes,Yes
Tester1234,California,25 to 34,,Light Blonde,Light,Warm Undertone,Blue,2 out of 5 stars.,a year ago  ,5,5,"Great product but not cruelty-free, sadly","The colors are gorgeous and long lasting. Sadly though, I wouldn’t recommend any L’Oréal products since they test on animals. Please go cruelty-free!",Yes,No,No
Lolerubio,"San Jose, CA",25 to 34,,Light Brown,Fair,Neutral Undertone,Hazel,5 out of 5 stars.,a year ago  ,5,5,Longer than expected,"This is one of the best lipsticks I’ve ever tried, it lasted longer than expected and the texture is so soft. I loved all the colors, I really recommend this product. Thanks!!",Yes,Yes,Yes
Jamie821,"Buffalo, NY",25 to 34,,Light Blonde,Fair,Warm Undertone,Blue,5 out of 5 stars.,a year ago  ,5,5,Fantastic color!,"I’m in love with these lip stains! They’re seriously better than any other lip stain I’ve tried. They have nice colors that actually stay on when you eat and drink. Comes in both subtle and vibrant colors to suit any need. They are comfortable to wear and smell nice as well. The only tough part I’ve found is trying to take off the red shade, it likes to stick around. Overall, I am very impressed with this product. I received this product complimentary from Influenster for testing.",Yes,Yes,Yes
Lzimm10,"Evans Mills, NY",25 to 34,,Medium Brown,Medium,Warm Undertone,Light Brown,4 out of 5 stars.,a year ago  ,5,5,Nice matte lip color,"This is a really nice matte lip color. I'm not one to use much more than chapstick or tinted chapstick most of the time, but I could see using this on a relatively frequent basis. The color is nice, it's not gloopy , it has a really nice feel to it, and leaves a nice matte finish, nothing glossy looking. I can definitely see using this for work or a night out, I love the different color selections. I'm not in love with the application brush, I think it's angled a little strange, but otherwise it's a great product.",Yes,,Yes
sama726,"Philadelphia, PA",18 to 24,,Copper,Fair,Cool Undertone,Blue,5 out of 5 stars.,a year ago  ,5,5,,I absolutely love these lipsticks! I have three and they are amazing! My favorite to wear everyday is “create” it’s the great natural lip with a little color! I also love how they dry matte and how they are super lightweight so it feels like your natural lip! I would recommend these if you are looking to try out a new lipstick! I received these complimentary for testing.,No,Yes,Yes
Shaypase,"Orlando, Florida",25 to 34,,,,,,,,,,,,,,
Kkolpak94,"Elizabethtown, KY",25 to 34,,Medium Brown,Light,,Hazel,5 out of 5 stars.,a year ago  ,5,5,Absolutely Love it!,This lipstick is simply amazing. I'm not a makeup wearer by any means. This lipstick goes on so evenly and easily! I love how quickly it dries but doesn't make my lips feel dried out at all.,Yes,Yes,Yes
Yumi,Washington,25 to 34,,Dark Brown,Medium,Neutral Undertone,Dark Brown,5 out of 5 stars.,a year ago  ,5,5,Great lip,"Brilliant color! I think that it is good lip for going out, or girls night",Yes,Yes,Yes
Fashionably,"Pasadena, TX",25 to 34,,Medium Blonde,Medium,Warm Undertone,Dark Brown,3 out of 5 stars.,a year ago  ,5,5,,"This product comes in great packaging. The formula is easy to apply, has no strong scent. The formula has a water like consistency. It applies great but it does not last. The minute you take a sip thru a straw it goes away. You have to be re applying. And it is not a big deal to be reapplying because sometimes people do not care to. But if you don’t have time to look in the mirror and realize it’s fade then it is a bummer. Walking around with faded lip color. That’s the only reason I gave it 3 stars. Everything is great about it. It’s also not heavy at all on ur lips you don’t even feel it. But the fading aspect of it, was a big one. I got these lip colors complimentary from Influenster to review them for everyone. I would still recommend to a friend because it’s a good product , but I would tell them to re apply.",No,Yes,
CristieA,"Lake City, FL",25 to 34,,Dark Brown,Fair,Warm Undertone,Hazel,5 out of 5 stars.,a year ago  ,5,5,Amazing!,"I'm not usually a fan of matte lipsticks because they tend to dry out my lips and don't last long. But, I received a complimentary sample and was pleasantly surprised by the quality of this product. The design is fantastic! It's attractive and functional. The applicator does a great job of evenly applying the lipstick. This formula is non-drying and feels very luxurious on the lips. It isn't sticky or greasy feeling at all. Lovely product and absolutely gorgeous colors!",Yes,Yes,Yes
MissLexidior,NC,25 to 34,,Dark Brown,Deep,Warm Undertone,Dark Brown,3 out of 5 stars.,a year ago  ,5,5,Not for me,*I received this product for testing purposes so all opinions are my own.,Yes,No,No
nnheacox,"Tuscumbia, Al",25 to 34,,Dark Blonde,Fair,Cool Undertone,Blue,5 out of 5 stars.,a year ago  ,5,5,Great Matte,"I received this product for free for the purpose of review. I have really enjoyed using it! Goes on smooth, not sticky, or super drying. I’d definitely buy it again!",Yes,Yes,Yes
Rachelk,Florida,25 to 34,,Medium Brown,Medium,Neutral Undertone,Green,5 out of 5 stars.,a year ago  ,5,5,Love the way it feels,I was surprised with how smooth this lipstick applied. Leaving my lips soft and smooth with no clumps. Although the matte color is not my color preference it actually looked great. These are easy to find and very affordable. I find that it last a long time and a little goes a long way. I received this product complimentary for review purposes.,Yes,Yes,Yes
Glamberly,"Chicago, IL",18 to 24,,Light Blonde,Medium,Warm Undertone,Green,5 out of 5 stars.,a year ago  ,5,5,Dries beautifully!,"I received this product to try through influenster and I am so happy with it! The shades dry down to a beautiful, matte finish that leaves your lips moisturized. Highly recommend!",Yes,Yes,Yes
Paulagp,"Madrid, Spain",18 to 24,,Dark Blonde,Fair,Cool Undertone,,5 out of 5 stars.,a year ago  ,5,5,Amazing Colors!,"The texture is great! So smooth and not aggressive at all or dry to your lips.
Colors are amazing and easy to combine.
I totally recommend it!",Yes,Yes,Yes
Morganspoon,Oklahoma,25 to 34,,Medium Brown,Medium,Warm Undertone,Dark Brown,4 out of 5 stars.,a year ago  ,5,5,So light!,This liquid lipstick was great! It was long lasting and stayed the whole night. It had a matte look but didn’t make my lips dry. I have two colors and loved them both.,Yes,Yes,Yes
Jayrose02,"Jamestown, Ca",25 to 34,,Light Brown,Fair,Neutral Undertone,Green,5 out of 5 stars.,a year ago  ,5,5,,"I was a little hesitant to try this, it seems like normal lip stuff everyone carries now. However it’s totally amazing! I have three shades, one the color of my lips, one a few shades darker and then a bold bright red. I have to say I LOVE all of these colors! They go on smooth and easy. The brush looks completely different than anything you’ve ever tried and works amazing at application! Did I mention the staying power? Although this was complimentary to review, I would hands down be buying this for all of my lip needs in the future! Way to go L’Oréal!",No,Yes,Yes
Heatherrr,Illinois,25 to 34,,,Light,Neutral Undertone,Light Brown,5 out of 5 stars.,a year ago  ,5,5,I would purchase again,I received a sample in exchange for an honest review. All opinions are my own. I liked the easy application of this product. The color went on smoothly and evenly. The product is long-lasting. I enjoyed the matte look of the colored ink. I prefer it over glossy products. My lips did not feel sticky. I would use this product again in the future.,Yes,Yes,Yes
LakynBacon,,25 to 34,,Light Blonde,Light,Neutral Undertone,Blue,5 out of 5 stars.,a year ago  ,5,5,So easy to apply!,I received this complementary product to test and I have to say that I love it! The applicator makes it so easy to apply and the product goes on so smooth. It never dried out my lips and the color complemented my skin tone really well.,Yes,Yes,Yes
Curlypamm,New York,17 or under,,Dark Brown,Fair,Cool Undertone,Hazel,4 out of 5 stars.,a year ago  ,5,5,Amazing,"I received three of this lipsticks as a complementary gift by Influenster and I really like them, the consistency is really nice and even though is matte it doesn’t dry your lips too much which is amazing! The only problem is that it comes off really easily but over all is a really nice lipstick",Yes,Yes,Yes
astokess,"Dothan, AL",18 to 24,,Light Brown,Light,Neutral Undertone,Hazel,5 out of 5 stars.,a year ago  ,5,5,LOVE,"I love these lipsticks so much! I bought three and I love the colors as well as how light they feel on the lips. They feel so light that I thought my lipstick had completely come off, but when I looked in the mirror it was still perfect. I love these lipsticks SO much and the wand is perfect, too.",Yes,Yes,Yes
Tori2828,"Henrico, VA",25 to 34,,Dark Brown,Medium,Neutral Undertone,Hazel,5 out of 5 stars.,a year ago  ,5,5,My new go to lippies!!,"These lip sensations go on SUPER wet, and they feel like they're very watered down when you first put them on. But then they dry and wow, they're amazing. They're extremely pigmented and so very lightweight that you forget there's anything on your lips. Also, they have very minimal transfer once dried. I would definitely recommend! I received this product in exchange for an honest review complimentary of Influenster, and I'm glad I did. I will be getting more shades!",Yes,Yes,Yes
Imanitaylor07,San Francisco,35 to 44,,Black,Deep,Warm Undertone,Dark Brown,4 out of 5 stars.,a year ago  ,5,0,Great color,"I received this product compliments of Influenster, & I’m glad I did! I love the vivid bold colors and i love how it doesn’t dry your lips out. Highly recommended",Yes,Yes,Yes
maddiesaur,"Minneapolis, MN",25 to 34,,Medium Brown,Fair,Cool Undertone,Light Brown,4 out of 5 stars.,a year ago  ,5,5,Pretty colors with a light feel,"I received this complimentary for testing purposes and I'm glad I did. I love the colors! It doesn't feel thick like other long lasting liquid lipstick. The only problem with it is that it wasn't insanely long lasting, but there's a positive to that. When it was fading, it didn't do the thing where the middle of your lips just fade completely because of moisture or oils and the rest is still put. It faded naturally over time and still looked good on the entirety of the lip. Just faded. I loved this Lasting Matte Liquid Lipstick!",Yes,Yes,Yes
heyitshaley123,lakeland fl,18 to 24,,Medium Brown,Medium,Neutral Undertone,Hazel,5 out of 5 stars.,a year ago  ,5,5,,I love the texture and dry of this lippie. it wears as long as you need it too. definitely a new favorite!,No,Yes,Yes
KristinaScherrer,"Fort Wayne, IN",35 to 44,,Medium Brown,Light,Neutral Undertone,Light Brown,4 out of 5 stars.,a year ago  ,5,5,Am I wearing anything?,I received a couple free products through influencer and I was hesitant at first because the formula felt a bit watery however this has quickly turned into my favorite lip product! It is honestly so weightless that I've forgotten I was even wearing anything until people would compliment the shade! I highly recommend this for a try!,Yes,Yes,Yes
Aliciamae12,"Minneapolis, Minnesota",25 to 34,,,Medium,Neutral Undertone,Dark Brown,5 out of 5 stars.,a year ago  ,5,5,Great formula,Love that this liquid lipstick felt light and didnt make my lips feel dry.,Yes,Yes,Yes
Astrobeauty,"Meadow vista, ca",25 to 34,,Bleach Blonde,Fair,Neutral Undertone,Blue,5 out of 5 stars.,a year ago  ,5,5,Amazing,"I had received this for free to review. These are amazing! The colors are pigmented, they have a beautiful variety of shades and also the wand is awesome! Makes it super easy to apply and they have a glossy finish which I love.",Yes,Yes,Yes
Cblevins6,"Auburn Hills, MI",25 to 34,,Dark Blonde,Medium,Warm Undertone,Dark Brown,4 out of 5 stars.,a year ago  ,5,5,Loved the colors!!!,"The bold red color is perfect for any date night or girls night!! The velvet feel and the applicator were my two favorite things about this lip gloss. The only thing I can say is that it doesn’t stay on all day. Perfect addition to my purse during these cold winter months! Received this complimentary from Influenster, and would totally recommend to a friend!",Yes,Yes,Yes
Leahclaire,"Coffeeville,AL",18 to 24,,Auburn,Fair,Warm Undertone,Blue,5 out of 5 stars.,a year ago  ,5,5,Long lasting,"Let me tell you, I don’t use L’Oréal a lot and these lipsticks are SO good. They have nude shades to hold shades. They are long lasting and smooth and buttery.",Yes,Yes,Yes
Heykara,,18 to 24,,Medium Brown,Fair,Warm Undertone,Light Brown,4 out of 5 stars.,a year ago  ,5,5,"Great colors, easy to use!",I received three colors to test out complimentary and was pleantly surprised by the quality and usability! I am not typically big on wearing a colored lip for a few reasons.. I hate leaving stain marks on anything my lips touch and my bf always complains about that sticky feel even if I have on a basic chapstick! What I love about these lip inks is that you can’t feel that you have them on and once they are dried they don’t smudge or leave a mark. That applicator brush is perfectly shaped to get straight lines and into the corner of your lip without overlining making application super easy. The only negative is that the color does fade after a bit and needs to be reapplied to keep the bold color. I would recommend applying two coats at the start of the evening and reapply as needed.,Yes,Yes,Yes
